vehicle_speed,steer,throttle,brake,yaw,position_x,position_y
-8.964731932792347e-06,0.0,1.0,-1.0,3.1147850677371025e-05,51.57194137573242,330.8497619628906
-1.7619448044570163e-05,0.0,1.0,-1.0,3.025095065822825e-05,51.57194137573242,330.8497619628906
-1.864702244347427e-05,0.0,1.0,-1.0,2.9282717150636017e-05,51.57194137573242,330.8497619628906
-1.864702244347427e-05,0.0,1.0,-1.0,2.9282717150636017e-05,51.57194137573242,330.8497619628906
-1.5539888408966362e-05,0.0,1.0,-1.0,2.8769834898412228e-05,51.57194137573242,330.8497619628906
-1.0561026101640891e-05,0.0,1.0,-1.0,2.8295411539147608e-05,51.57194137573242,330.8497619628906
-7.818104677426163e-06,0.0,1.0,-1.0,2.810080513881985e-05,51.57194137573242,330.8497619628906
-2.35399724601848e-07,0.0,1.0,-1.0,2.803290590236429e-05,51.57194137573242,330.8497619628906
-1.3183847613618127e-06,0.0,1.0,-1.0,2.803290590236429e-05,51.57194137573242,330.8497619628906
-3.260840628627193e-07,0.0,1.0,-1.0,2.803290590236429e-05,51.57194137573242,330.8497619628906
-6.061124508960347e-07,0.0,1.0,-1.0,2.803290590236429e-05,51.57194137573242,330.8497619628906
-8.042750891945616e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
5.379695267038187e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-1.306224703512271e-06,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
7.122456509023323e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
0.0,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-1.5010886045274674e-06,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
2.9474983875843463e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
2.482344712007034e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
5.243754230832565e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
1.4960747307668498e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
5.009054575566552e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
1.027404323394876e-06,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-6.816073323534511e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
4.082259863480431e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
6.122669446995133e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
3.3122421427833615e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
7.212582886495511e-08,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-1.1504617987156962e-06,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
3.6790078183912556e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-9.496465054326109e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
3.708028941673547e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
6.498611924143916e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
7.781305839671404e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
5.41125359632133e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-9.510675340607122e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-2.7174999672752165e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-8.037773113755975e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-7.288441565833637e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
3.9417682273779064e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
0.0,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-9.589986120772664e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-6.137697141639364e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
4.823198196390877e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-8.837596965349803e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-9.22090919175389e-08,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
2.6146058651477233e-09,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
2.6011883846877026e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
1.2169802232619986e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
-1.0097683116327971e-06,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
1.0289093665960536e-07,0.0,1.0,-1.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
2.636525096022524e-07,0.0235294122248888,0.0078431377187371,0.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
5.33440470462665e-07,0.0235294122248888,0.027450980618596,0.0,2.7827487429021858e-05,51.57194137573242,330.8497619628906
0.04287003353238106,0.0235294122248888,0.2352941185235977,0.0,3.40917358698789e-05,51.57231140136719,330.8497619628906
0.040481727570295334,0.0235294122248888,0.3137255012989044,0.0,0.00023074810451362282,51.574954986572266,330.8497619628906
0.04294619709253311,0.0235294122248888,0.4705882370471954,0.0,0.000396117742639035,51.57759475708008,330.8497619628906
0.10196170955896378,0.0235294122248888,0.615686297416687,0.0,0.0011661126045510173,51.5793342590332,330.8497619628906
0.4299907684326172,0.0235294122248888,0.6666666865348816,0.0,-0.008880615234375,51.59486389160156,330.8498840332031
0.7069308757781982,0.0235294122248888,0.7568627595901489,0.0,0.005637709051370621,51.635169982910156,330.8497314453125
0.8615652918815613,0.0235294122248888,0.7647058963775635,0.0,-0.005096434149891138,51.677024841308594,330.8498229980469
1.0442010164260864,0.0235294122248888,0.7647058963775635,0.0,0.002175159053876996,51.70152282714844,330.8497619628906
1.4254748821258545,0.0235294122248888,0.7686274647712708,0.0,0.003129804041236639,51.79866409301758,330.8497619628906
1.6768388748168945,0.0235294122248888,0.772549033164978,0.0,0.009731442667543888,51.87565231323242,330.84967041015625
1.8040530681610107,0.0235294122248888,0.772549033164978,0.0,0.013770862482488155,51.91815185546875,330.84967041015625
2.1580660343170166,0.0235294122248888,0.7764706015586853,0.0,0.021548252552747726,52.0692024230957,330.8499450683594
2.383890151977539,0.0235294122248888,0.7764706015586853,0.0,0.028234099969267845,52.1844367980957,330.85009765625
2.4850597381591797,0.0235294122248888,0.7803921699523926,0.0,0.031464867293834686,52.24201965332031,330.8501892089844
2.705641746520996,0.0235294122248888,0.7803921699523926,0.0,0.03891496732831001,52.37704849243164,330.850341796875
3.0315423011779785,0.0235294122248888,0.7843137383460999,0.0,0.05090074613690376,52.59820556640625,330.8505859375
3.2496883869171143,0.0235294122248888,0.7843137383460999,0.0,0.05959296226501465,52.760623931884766,330.8507385253906
3.4724087715148926,0.0235294122248888,0.7882353067398071,0.0,0.06902704387903214,52.93838119506836,330.8510437011719
3.5691847801208496,0.0235294122248888,0.7882353067398071,0.0,0.07329316437244415,53.01921081542969,330.85125732421875
3.8035261631011963,0.0235294122248888,0.7882353067398071,0.0,0.08409260213375092,53.22488021850586,330.8515930175781
4.117472171783447,0.0235294122248888,0.7843137383460999,0.0,0.09956900030374527,53.52224349975586,330.8521423339844
4.327286243438721,0.0235294122248888,0.7843137383460999,0.0,0.11060232669115067,53.73611068725586,330.85272216796875
4.543632984161377,0.0235294122248888,0.7843137383460999,0.0,0.12253694981336594,53.96906280517578,330.8533020019531
4.646213054656982,0.0235294122248888,0.7843137383460999,0.0,0.12838946282863617,54.0838623046875,330.85357666015625
4.8575215339660645,0.0235294122248888,0.7843137383460999,0.0,0.14084558188915253,54.32932662963867,330.8542785644531
5.0635600090026855,0.0705882385373115,0.7843137383460999,0.0,0.1555267572402954,54.58019256591797,330.85504150390625
5.377948760986328,0.0705882385373115,0.7843137383460999,0.0,0.1925525665283203,54.98522186279297,330.85687255859375
5.48320198059082,0.0705882385373115,0.7843137383460999,0.0,0.2076340764760971,55.129119873046875,330.8576354980469
5.678202152252197,0.0705882385373115,0.7843137383460999,0.0,0.23858390748500824,55.41098403930664,330.8592224121094
5.862288951873779,0.0705882385373115,0.7843137383460999,0.0,0.274237722158432,55.71849822998047,330.8610534667969
6.053733825683594,0.0235294122248888,0.7843137383460999,0.0,0.3101365268230438,56.13977813720703,330.8634948730469
6.053733825683594,0.0235294122248888,0.7843137383460999,0.0,0.3101365268230438,56.13977813720703,330.8634948730469
6.385461330413818,0.0235294122248888,0.7843137383460999,0.0,0.3412521779537201,56.63631820678711,330.8664855957031
6.6386399269104,0.0235294122248888,0.7843137383460999,0.0,0.3599298894405365,56.96536636352539,330.8684997558594
6.869810104370117,0.0235294122248888,0.7843137383460999,0.0,0.3789016902446747,57.313758850097656,330.8708190917969
7.093470573425293,0.0235294122248888,0.7843137383460999,0.0,0.39865198731422424,57.69120788574219,330.8734436035156
7.303889274597168,0.0235294122248888,0.7843137383460999,0.0,0.4179878830909729,58.0723876953125,330.8762512207031
7.506350040435791,0.0235294122248888,0.7843137383460999,0.0,0.43709155917167664,58.45718765258789,330.8791809082031
7.707616806030273,0.0235294122248888,0.7843137383460999,0.0,0.45652127265930176,58.85457229614258,330.8822937011719
7.909651279449463,0.0235294122248888,0.7843137383460999,0.0,0.47647926211357117,59.26721954345703,330.8857421875
8.113365173339844,0.0235294122248888,0.7843137383460999,0.0,0.4970877468585968,59.69674301147461,330.889404296875
8.113365173339844,0.0235294122248888,0.7843137383460999,0.0,0.4970877468585968,59.69674301147461,330.889404296875
8.2993803024292,0.0235294122248888,0.7803921699523926,0.0,0.516350507736206,60.100555419921875,330.89306640625
8.593575477600098,0.0235294122248888,0.7764706015586853,0.0,0.5477786064147949,60.76323699951172,330.8993225097656
8.787715911865234,0.0235294122248888,0.7764706015586853,0.0,0.5692504644393921,61.21841812133789,330.90374755859375
8.878119468688965,0.0235294122248888,0.7764706015586853,0.0,0.5794370770454407,61.43498992919922,330.9058837890625
9.081485748291016,0.0235294122248888,0.7764706015586853,0.0,0.6027794480323792,61.93272399902344,330.9110412597656
